name,roll,contact_no,gender,address,school_id,email,year,birthday,last_result
Rina,1,_01653728291,Female,Dhaka,1001,Rina@gmail.com,6,6/17/2008,380
Titu,2,_01745382910,Male,Dhaka,1001,titu@gmail.com,6,7/19/2008,378
Topu,3,_01936282931,Male,Dhaka,1001,topu@gmail.com,6,7/18/2008,350
Mitu,4,_01547363840,Female,Dhaka,1001,mitu@gmail.com,6,12/6/2008,344
Dipa,1,_01746393746,Female,Dhaka,1001,dipa@gmail.com,7,8/14/2007,390
moni,2,_01746582439,Female,Dhaka,1001,moni@gmail.com,7,12/14/2007,375
Hanif,3,_01745123475,Male,Dhaka,1001,hanif@gmail.com,7,5/19/2007,355
sorif,4,_01568293485,Male,Dhaka,1001,sorif@gmail.com,7,8/13/2007,320
Amir,1,_01451278112,Male,Dhaka,1001,amir@gmail.com,8,8/12/2006,397
ankhi,2,_01745861294,Female,Dhaka,1001,ankhi@gmail.com,8,12/9/2006,390
Murad,3,_01721539721,Male,Dhaka,1001,murad@gmail.com,8,4/2/2006,376
Shefa,4,_01584321921,Female,Dhaka,1001,shefa@gmail.com,8,11/4/2006,360
Hridi,1,_01784531920,Female,Barisal,1003,hridi@gmail.com,6,4/15/2008,380
sharmin,2,_01842351912,Female,Barisal,1003,sharmin@gmail.com,6,8/9/2008,377
munazza,3,_01754231914,Female,Barisal,1003,munazza@gmail.com,6,4/9/2009,369
Mithee,4,_01547211224,Female,Barisal,1003,mithee@gmail.com,6,10/15/2008,365
Mila,1,_01751239777,Female,Barisal,1003,mila@gmail.com,7,10/1/2007,387
Eva,2,_01845239755,Female,Barisal,1003,eva@gmail.com,7,1/5/2007,360
tanha,3,_01784213952,Female,Barisal,1003,tanha@gmail.com,7,3/4/2007,355
afia,4,_01751239212,Female,Barisal,1003,afia@gmail.com,7,5/2/2007,320
Dina,1,_01899537652,Female,Barisal,1003,Dina@gmail.com,8,10/18/2006,395
afsana,2,_01557128649,Female,Barisal,1003,afsana@gmail.com,8,5/6/2006,384
sabrin,3,_01778845996,Female,Barisal,1003,sabrin@gmail.com,8,1/8/2006,383
rumi,4,_01712445239,Female,Barisal,1003,rumi@gmail.com,8,12/1/2006,378
